Location,Best Time of Day to Visit,Best Season to Visit,Location Type,Description,Google Maps Link,Five Star
"Google Walter Moryan @ Amazon.com, Deltona, Florida",anytime,any season,other,God kept me alive for a reason,,0
"Jesse Ball Dupont Park, Jacksonville, Florida",morning,fall,other,This is a wonderful place to rent for a wedding or any other special occasion. This park is the home to one of the largest trees in Jacksonville Florida.,"https://www.google.com/maps/place/Jessie+Ball+DuPont+Park/@30.3168074,-81.6581254,15z/data=!4m5!3m4!1s0x0:0x3ac8254c597526df!8m2!3d30.3168074!4d-81.6581254",2
"The English Muffin, Hampstead, Florida",morning,summer,food,The food is EXCELLENT! The portions are HUGE! The prices are GREAT! The service is excellent.,"https://www.google.com/maps/place/The+English+Muffin/@42.8754365,-71.1841455,17z/data=!3m1!4b1!4m5!3m4!1s0x89e2ff654778553d:0x18c91c4031d414cf!8m2!3d42.8754657!4d-71.181904",2.857
"Corkscrew Swamp Sanctuary, Naples, Florida",morning,winter,natural,"It is a wonderful walk outside. It is so beautiful and there is so many animals, plants and trees to look at.","https://www.google.com/maps/contrib/109332496978257347825/photos/@30.6228194,-82.7831276,6z/data=!3m1!4b1!4m3!8m2!3m1!1e1",3
"Homosassa Springs State Wildlife Park, Homosassa, Florida",morning,spring,other,The only place in Florida where you can see the manatee close up without getting into the water!  Love the animal areas and the park is very well maintained. Staff are exceptionally friendly and make you feel like part of the family.,"https://www.google.com/maps/place/Homosassa+Springs+Wildlife+State+Park/@28.8003825,-82.5850316,16.98z/data=!4m5!3m4!1s0x88e83fcc23e2314d:0xf7fa9234566fd8f3!8m2!3d28.8004219!4d-82.5828642",3.333
"Harry P. Leu gardens, Orlando, Florida",anytime,spring,natural,It is a 50 acre botanical garden that is perfect for nature lovers of all kinds.,https://www.google.com/maps/dir//orlando+harry+p.+leu+gardens/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x88e77abc1a981009:0x9696d656a16a6fdc?sa=X&ved=2ahUKEwiQho3CoLDwAhUpRTABHXvTCXsQ9RcwHXoECCwQBQ,3.519
"Moccasin Slough Park, Fleming Island, Florida",morning,summer,natural,It has beautiful nature trails and your kids can play at the playground,"https://www.google.com/maps/place/Moccasin+Slough+Park/@30.1207803,-81.7027019,17z/data=!3m1!4b1!4m5!3m4!1s0x88e5c57a188a17cd:0x9ac6ff3472a7129a!8m2!3d30.1207803!4d-81.7005132",3.75
"Loxahatchees Park, Stuart, Florida",morning,spring,natural,its quiet not very many people use it and it can be very pretty during the spring time.,"https://www.google.com/maps/place/Arthur+R.+Marshall+Loxahatchee+National+Wildlife+Refuge/@26.4992858,-80.3524158,11z/data=!4m9!1m2!2m1!1sloxahatchee+park!3m5!1s0x88d93db1eeded8e1:0xaf438ed4b481c265!8m2!3d26.4992858!4d-80.2123401!15sChBsb3hhaGF0Y2hlZSBwYXJrWiQKEGxveGFoYXRjaGVlIHBhcmsiEGxveGFoYXRjaGVlIHBhcmuSAQ93aWxkbGlmZV9yZWZ1Z2U",3.75
"national park, Winter Park, Florida",morning,spring,natural,"Winter Park also is a nature lover's destination. In Winter Park you'ill find more than 70 parks, all home to various events, festivals and celebrations throughout the year",,3.784
"The New Standard, Orlando, Florida",evening,summer,food,Popular option delivering elevated American comfort food & Sunday brunch in a sleek space.,"https://www.google.com/maps/place/Dexters+New+Standard+Winter+Park/@28.6068345,-81.3655652,15z/data=!4m5!3m4!1s0x0:0xaf426ca4472ba76c!8m2!3d28.6066749!4d-81.3655646",4
"Mickler Beach, Jacksonville, Florida",morning,spring,waterfront,The beach is very scenic and has beautiful sunrises.,,4
"vista view park, Miami, Florida",morning,summer,other,It is nice place to have a picnic have a photoshoot and also to explore and study the history of this beautiful place.,"https://www.google.com/maps/place/Vista+View+Park/@26.070546,-80.342975,15z/data=!4m5!3m4!1s0x0:0x30b46ecfa16a0ab2!8m2!3d26.070546!4d-80.342975",4.048
"Sky Wheel, Panama City, Florida",evening,spring,other,The view that shows you the Panama City Beach at night and lets you see the horizon on the ocean.,"https://www.google.com/maps/place/SkyWheel+Panama+City+Beach/@30.218174,-85.872769,15z/data=!4m2!3m1!1s0x0:0xab36fb16fcfac72?sa=X&ved=2ahUKEwjB-9Tg87PwAhUIA6wKHQN_BdkQ_BIwG3oECCkQBQ",4.118
"restaurant Oceans 234, Deerfield Beach, Florida",afternoon,summer,food,"the place is facing the sea, the food is excellent and you have a good time with family or friends",https://www.google.com/search?q=restaurant+Oceans+234+map&rlz=1C1CHBD_enUS877US877&sxsrf=ALeKk01syKq-qZB9GUHzG8IDnxTo8w2t3Q%3A1620157020927&ei=XKKRYPekOICUwbkP8puE-Ac&oq=restaurant+Oceans+234+map&gs_lcp=Cgdnd3Mtd2l6EAMyBQghEKABMgUIIRCgAToHCAAQRxCwAzoGCAAQFhAeOggIIRAWEB0QHlC8DVjoPGDAP2gCcAJ4AIABwgGIAb8GkgEDMi40mAEAoAEBqgEHZ3dzLXdpesgBCMABAQ&sclient=gws-wiz&ved=0ahUKEwj3wtmd47DwAhUASjABHfINAX8Q4dUDCA8&uact=5,4.138
"Bern's Steakhouse, Tampa, Florida",evening,fall,food,Best food experience ever. You get a tour of the kitchen and insane wine collection. All of the food is super fresh. Staff have been working there for decades.,"https://www.google.com/maps/place/Bern's+Steak+House/@27.9324722,-82.4861872,17.52z/data=!4m5!3m4!1s0x88c2c36776c70529:0xa227de3eb98b5024!8m2!3d27.9316045!4d-82.4829867",4.231
"Pulse Memorial, Orlando, Florida",anytime,any season,historical,It is a recent historical site that is very emotional to visit.,https://www.google.com/maps?q=google+maps+pulse+orlando&um=1&ie=UTF-8&sa=X&ved=2ahUKEwjJ5If4q7bwAhWPmq0KHSHVDjkQ_AUoAXoECAEQAw,4.34
"Audubon Corkscrew Swamp Sanctuary, Bonita Springs, Florida",morning,fall,natural,Beautiful boardwalks that twist and turn in the nature filled swamp. So many wild animals that a chalk board is provided at the end of the trail for all to share which animals were out and about that day.,"https://www.google.com/maps/place/Audubon+Corkscrew+Swamp+Sanctuary-ONLINE+RESERVATIONS+REQUIRED.+NO+WALK-INS/@26.3754893,-81.606338,17z/data=!3m1!4b1!4m5!3m4!1s0x88db0f4d4ade6685:0xd0d231f93e9fcd2!8m2!3d26.3754893!4d-81.6041493",4.412
"Museum of Art and Science, Daytona Beach, Florida",afternoon,any season,museum,"ITS REAL COOL,MOST TOURISTS NEVER FIND OUT ABOUT IT","https://www.google.com/maps/place/Museum+of+Arts+%26+Sciences/@29.1921138,-81.0373001,15z/data=!4m2!3m1!1s0x0:0x36092570526197b8?sa=X&ved=2ahUKEwjqyNDg3rrwAhWTWc0KHVxbC7AQ_BIwEnoECCIQBQ",4.444
"The Black Creek Trail, Orange Park, Florida",morning,summer,natural,The location has many nature trails that are absolutely beautiful.,"https://www.google.com/maps/place/Black+Creek+Park+and+Trail/@30.0476056,-81.7123939,17z/data=!3m1!4b1!4m5!3m4!1s0x88e5da93071965f9:0x8e6929f93368f574!8m2!3d30.0476056!4d-81.7102052",4.444
"Dry Tortugas national park, Miami, Florida",morning,winter,natural,keep your mouth clean  best you can,"https://www.google.com/maps/place/Dry+Tortugas+National+Park/@24.6280737,-82.8775591,15z/data=!3m1!4b1!4m5!3m4!1s0x88ce55d10406f657:0x5bb10efd57331da1!8m2!3d24.628477!4d-82.8731874",4.583
"Jennings State Forest, Jacksonville, Florida",morning,fall,natural,The Pioneer Hiking Trail is incredible. A 12 mile trail in Florida that makes you feel like you are in the mountains.,https://www.google.com/maps/d/viewer?msa=0&ll=30.11237109753952%2C-81.906037&spn=0.00878%2C0.022724&mid=1YYQJ2ZEU5ODWEHPNVFmu9CXyOK0&z=15,4.615
"Indian Rocks Beach, Largo, Florida",anytime,summer,waterfront,I recommend this because this is not a crowded beach. It is very secluded at anytime. You can actually park for free at the nature preserve across the street and walk over. The beach is very nice with pretty blue water.,"https://www.google.com/maps/place/Indian+Rocks+Beach,+FL/@27.8912954,-82.8598667,14z/data=!3m1!4b1!4m5!3m4!1s0x88c2f998004c9aa7:0x7d4d3c45931d0448!8m2!3d27.8960019!4d-82.846561?hl=en-us",4.667
"Weeki Wachee Springs State Park, Weeki Wachee, Florida",anytime,summer,natural,The only live mermaid performance in the United States! Enjoy a boat ride on the river and see manatees and wildlife.,"https://www.google.com/maps/place/Weeki+Wachee+Springs+State+Park/@28.5176575,-82.5768944,17z/data=!3m1!4b1!4m5!3m4!1s0x88e82032ac8e73cf:0xd2dc15fb00f3a830!8m2!3d28.5176575!4d-82.5747057",4.681
"Busch Garden, Tampa Bay, Florida",afternoon,spring,entertainment,It is a family entertainment center where children will love the animals.,"https://www.google.com/maps/place/Busch+Gardens+Tampa+Bay/@28.0372399,-82.4253248,16z/data=!3m1!4b1!4m5!3m4!1s0x88c2c64f0d381a85:0xa8a5fe0830e10852!8m2!3d28.0372251!4d-82.4194351",4.737
"Pass-A-Grille an eclectic part of Americana with roof top dinning overlooking the Gulf of Mexico., St Pete Beach, Florida",evening,spring,other,"It is located in an eclectic beach town, where you have a beautiful view of the sunset over the Gulf of Mexico.",,5
"Robert K. Rees Memorial Park, New Port Richey, Florida",evening,summer,waterfront,"It's an eclectic beach town that still has it's charm, good restaurants and beautiful sunsets over the Gulf of Mexico.","https://www.google.com/maps/place/Robert+K+Rees+Memorial+Park/@28.2537806,-82.7570944,15z/data=!4m2!3m1!1s0x0:0xd50994ffc8fc327b?sa=X&ved=2ahUKEwiJ9qC8oLDwAhX8SjABHU9sDXsQ_BIwDnoECDkQBQ",5
"Under The Mango Tree, Miami, Florida",afternoon,summer,food,"This small store and eatery isn't easy to spot, but the veggie melts, açaí bowls, dragon fruit smoothies, and fresh juices aren't easily forgotten. This place is special and full of health and heart.",,5
