,Location,Best Time of Day to Visit,Best Season to Visit,Location Type,Description,Google Maps Link,Five Star
0,"Park, Texas, Texas",afternoon,summer,other,"ITS A GOOD PLACE TO ENJOY ,VERY ATTRACTIVE AND CONDUCIVE ENVIRONMENT TO BE.",,3.182
1,"Bayou Burp Button, Houston, Texas",anytime,spring,natural,It's a very niche little spot that can cause a 'burp' like effect to happen. Can also surprise kayakers sometimes.,"https://www.google.com/maps/place/515+Preston+St,+Houston,+TX+77002/@29.7641651,-95.3659645,19z/data=!4m5!3m4!1s0x8640bf30e2b535f3:0x517898226fd9e10c!8m2!3d29.7643432!4d-95.3657164",3.824
2,"Buffalo Bayou, Houston, Texas",anytime,fall,waterfront,"Nice walking and bike trails, dog park, bike rentals, park for kids, special events.",https://www.google.com/maps/d/viewer?mid=1KtZkzw4cWzS_VnYTsX9wLhZfm1I&msa=0&ll=0%2C0&spn=0.016112%2C0.033023&z=13,3.889
3,"Holiday Inn Lubbock South, Lubbock, Texas",morning,summer,other,This restaurants is very useful to satay and taste more delicious foods. I would like to share my thoughts about this restaurants to my friends. It was very beautiful place to stay at this place.,"https://www.google.com/maps/place/Holiday+Inn+Lubbock+South/@33.5376824,-101.9521929,17z/data=!3m1!4b1!4m8!3m7!1s0x86fe73c38ab4fbc9:0x786b9a72ef7e3815!5m2!4m1!1i2!8m2!3d33.5376764!4d-101.9501387",4
4,"The Jay Cafe, Texas, Texas",anytime,any season,food,Keeping the old-school American diner tradition alive! The perfection that comes with every meal is unreal!,"https://www.google.com/maps/dir/-0.7056502,37.2472152/the+jay+cafe+texas+36+needville+tx/@1.3242201,-114.6524938,3z/data=!3m1!4b1!4m9!4m8!1m1!4e1!1m5!1m1!1s0x86410147b2e35c8f:0x52a90f8be2e4ec9d!2m2!1d-95.8003374!2d29.3660541",4.231
5,"Desert Gardens, Texas, Texas",morning,spring,natural,This is a great place to see gardens and escape to nature.,,4.333
6,"Menakshi Temple, Pearland, Texas",anytime,any season,other,So they can learn about hinduism and see how it is.,"https://www.google.com/maps/place/Sri+Meenakshi+Devasthanam/@29.5227511,-95.2998147,17z/data=!3m1!4b1!4m5!3m4!1s0x86409192d9172f81:0x6c7c6b470f074b4f!8m2!3d29.5227516!4d-95.2975911",4.333
7,"Le Bernardin, New York, Texas",afternoon,fall,food,Beautiful place for seafood but most tourists never find out about it.,"https://www.google.com/maps/dir//tourist+restaurants+in+new+york/@40.7615168,-74.0519039,12z/data=!3m1!4b1!4m9!4m8!1m1!4e2!1m5!1m1!1s0x89c258f890972255:0x1dc6c517addd0556!2m2!1d-73.981864!2d40.761538",4.412
8,"Casa De Castillo, Waco, Texas",afternoon,any season,food,"It has excellent Mexican food and has a traditional, relaxed atmosphere.  It does not follow trends and stays true to it's roots.",,4.444
9,"Koughan Memorial Water Tower Park, Round Rock, Texas",anytime,summer,historical,"One of the city's original water towers, this iconic edifice on a quarter-acre plot offers benches.","https://www.google.com/maps/place/Koughan+Memorial+Water+Tower+Park/@30.508854,-97.6796109,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipPiB0g6hN-xXzetB_Yv0i5ExsxYxbX2b2NS_MYf!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipPiB0g6hN-xXzetB_Yv0i5ExsxYxbX2b2NS_MYf%3Dw86-h115-k-no!7i2648!8i3544!4m5!3m4!1s0x8644d194d37f53c1:0x84b947a0b057f6c7!8m2!3d30.508854!4d-97.6796109",4.5
