WorkTimeInSeconds,Answer.Validation.check,Answer.q1-worker-city,Answer.q2-hidden-gem,Answer.q3-google-maps-url,Answer.q4-cultural-site.culture,Answer.q4-entertainment-center.entertainment,Answer.q4-food-place.food,Answer.q4-historical-landmark.historical-landmark,Answer.q4-museum.museum,Answer.q4-natural.nature,Answer.q4-other.other,Answer.q4-specialty-store.store,Answer.q4-waterfront.waterfront,Answer.q5-afternoon.afternoon,Answer.q5-anytime.anytime,Answer.q5-evening.evening,Answer.q5-morning.morning,Answer.q6-Spring.spring,Answer.q6-fall.fall,Answer.q6-other.other,Answer.q6-summer.summer,Answer.q6-winter.winter,Answer.q7-why-visit,Answer.q8-popularity
415,TRUE,Jacksonville,Jesse Ball Dupont Park,"https://www.google.com/maps/place/Jessie+Ball+DuPont+Park/@30.3168074,-81.6581254,15z/data=!4m5!3m4!1s0x0:0x3ac8254c597526df!8m2!3d30.3168074!4d-81.6581254",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,The is a tree called the Treaty Oak tree which is a truly remarkable tree!,4
235,TRUE,Largo,Indian Rocks Beach,"https://www.google.com/maps/place/Indian+Rocks+Beach,+FL/@27.8912954,-82.8598667,14z/data=!3m1!4b1!4m5!3m4!1s0x88c2f998004c9aa7:0x7d4d3c45931d0448!8m2!3d27.8960019!4d-82.846561?hl=en-us",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,I recommend this because this is not a crowded beach. It is very secluded at anytime. You can actually park for free at the nature preserve across the street and walk over. The beach is very nice with pretty blue water.,3
234,TRUE,Daytona Beach,Museum of Art and Science,https://www.moas.org/,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"ITS REAL COOL,MOST TOURISTS NEVER FIND OUT ABOUT IT",4
1159,TRUE,Weeki Wachee,Weeki Wachee Springs State Park,"https://www.google.com/maps/place/Weeki+Wachee+Springs+State+Park/@28.5176575,-82.5768944,17z/data=!3m1!4b1!4m5!3m4!1s0x88e82032ac8e73cf:0xd2dc15fb00f3a830!8m2!3d28.5176575!4d-82.5747057",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Manatees, wildlife, only live mermaid performance in the US, boat ride on river",7
82,TRUE,Orange Park,The Black Creek Trail,"https://www.google.com/maps/place/Black+Creek+Park+and+Trail/@30.0476056,-81.7123939,17z/data=!3m1!4b1!4m5!3m4!1s0x88e5da93071965f9:0x8e6929f93368f574!8m2!3d30.0476056!4d-81.7102052",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,The location has many nature trails which look beautiful.,6
105,TRUE,Orlando,The New Standard,"https://www.google.com/maps/place/Dexters+New+Standard+Winter+Park/@28.6068345,-81.3655652,15z/data=!4m5!3m4!1s0x0:0xaf426ca4472ba76c!8m2!3d28.6066749!4d-81.3655646",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,The best local live music in Orlando.,2
175,TRUE,Miami,Dry Tortugas national park,http;//WWW. google/map.com,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,keep your mouth clean  best you can,7
3592,TRUE,Stuart,Loxahatchees Park,"https://www.google.com/maps/place/Arthur+R.+Marshall+Loxahatchee+National+Wildlife+Refuge/@26.4992858,-80.3524158,11z/data=!4m9!1m2!2m1!1sloxahatchee+park!3m5!1s0x88d93db1eeded8e1:0xaf438ed4b481c265!8m2!3d26.4992858!4d-80.2123401!15sChBsb3hhaGF0Y2hlZSBwYXJrWiQKEGxveGFoYXRjaGVlIHBhcmsiEGxveGFoYXRjaGVlIHBhcmuSAQ93aWxkbGlmZV9yZWZ1Z2U",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,its quiet not very many people use it and it can be very pretty during the spring time.,7
256,TRUE,Naples,Corkscrew Swamp Sanctuary,"https://www.google.com/maps/contrib/109332496978257347825/photos/@30.6228194,-82.7831276,6z/data=!3m1!4b1!4m3!8m2!3m1!1e1",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"It is a wonderful walk outside. It is so beautiful and there is so many animals, plants and trees to look at.",5
170,TRUE,Jacksonville,Jennings State Forest,https://www.google.com/maps/d/viewer?msa=0&ll=30.11237109753952%2C-81.906037&spn=0.00878%2C0.022724&mid=1YYQJ2ZEU5ODWEHPNVFmu9CXyOK0&z=15,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,The Pioneer Hiking Trail is incredible.  A 12 mile trail in Florida that makes you feel like you are in the mountains.,8
