WorkTimeInSeconds,Answer.Validation.check,Answer.q1-worker-city,Answer.q2-hidden-gem,Answer.q3-google-maps-url,Answer.q4-cultural-site.culture,Answer.q4-entertainment-center.entertainment,Answer.q4-food-place.food,Answer.q4-historical-landmark.historical-landmark,Answer.q4-museum.museum,Answer.q4-natural.nature,Answer.q4-other.other,Answer.q4-specialty-store.store,Answer.q4-waterfront.waterfront,Answer.q5-afternoon.afternoon,Answer.q5-anytime.anytime,Answer.q5-evening.evening,Answer.q5-morning.morning,Answer.q6-Spring.spring,Answer.q6-fall.fall,Answer.q6-other.other,Answer.q6-summer.summer,Answer.q6-winter.winter,Answer.q7-why-visit,Answer.q8-popularity
149,TRUE,Albany,Fuze Box Nightclub,https://goo.gl/maps/GByvFgx5tnjrKwET6,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,An amazing night club venue. Lot's of cool events that are not always well attended. Great atmosphere and artistic decorations. My favorite soundsystem around.,4
86,TRUE,Monticello,Nellies,https://www.bing.com/maps?q=nellys+restaurant+monticello+ny&cvid=37eb22feca674617a4b315298685c65c&aqs=edge..69i57j0.7335j0j1&pglt=299&FORM=ANNTA1&PC=U531,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,It has an attached bar next to the restaurant which makes it the perfect daytime and night time venue.,6
145,TRUE,Grand Island,Dick & Jenny's,https://www.dickandjennysny.com/,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"""Transplant"" from New Orleans offering great Cajun food and cocktails.",4
132,TRUE,New York City,Monkey Bar,"Rome, Metropolitan City of Rome, Italy",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,its nice to relax good to eat as well a good place to just let go.,5
363,TRUE,Syracuse,Dinasouer barbeque,https://www.dinosaurbarbque.com/syracuse/,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,the best barbque and blues bands in town its located in the downtown syracuse area.,10
806,TRUE,New York City,Satue of liberty,"https://www.google.com/maps/place/Statue+of+Liberty+National+Monument/@40.6892494,-74.0466891,17z/data=!3m1!4b1!4m5!3m4!1s0x89c25090129c363d:0x40c6a5770d25022b!8m2!3d40.6892494!4d-74.0445004",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"The Statue of Liberty stands in Upper New York Bay, a universal symbol of freedom. Originally conceived as an emblem of the friendship between the people of France and the U.S. and a sign of their mutual desire for liberty, over the years the Statue has become much more. ... It represents the United States itself",10
397,TRUE,Brooklyn,Industry City,https://goo.gl/maps/uLoda7SW23FN1j1dA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"We have a three year old. This place, especially during the pandemic, is terrific. It has a ton of restaurants, bars, distilleries, etc. It has open spaces. It is rad.",6
63,TRUE,New York City,Manhattan,"https://www.google.com/maps/place/Manhattan,+New+York,+NY/data=!4m2!3m1!1s0x89c2588f046ee661:0xa0b3281fcecc08c?sa=X&ved=2ahUKEwioxbz82LHwAhXHRDABHSC0D30Q8gEwAHoECAQQAQ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,nice views with good landscape.,10
148,TRUE,New York City,Union Square Market,"https://www.google.com/maps/place/Union+Square+Greenmarket/@40.7367221,-73.990226,15z/data=!4m2!3m1!1s0x0:0x1e491fafbfbceda2?sa=X&ved=2ahUKEwjZ2snD9q_wAhXUZc0KHR89BqUQ_BIwHnoECDUQBQ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"farm fresh food, food stalls, girl watching, baked goods.",6
4104,TRUE,New York City,Brooklyn Night Bazar,https://www.google.com/maps/place/whispering+in+grand+central+terminal/@40.7524961,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,the gem was all particular dicision time in vertual place.,6
