WorkTimeInSeconds,Answer.Validation.check,Answer.q1-worker-city,Answer.q2-hidden-gem,Answer.q3-google-maps-url,Answer.q4-cultural-site.culture,Answer.q4-entertainment-center.entertainment,Answer.q4-food-place.food,Answer.q4-historical-landmark.historical-landmark,Answer.q4-museum.museum,Answer.q4-natural.nature,Answer.q4-other.other,Answer.q4-specialty-store.store,Answer.q4-waterfront.waterfront,Answer.q5-afternoon.afternoon,Answer.q5-anytime.anytime,Answer.q5-evening.evening,Answer.q5-morning.morning,Answer.q6-Spring.spring,Answer.q6-fall.fall,Answer.q6-other.other,Answer.q6-summer.summer,Answer.q6-winter.winter,Answer.q7-why-visit,Answer.q8-popularity
158,TRUE,Indiana,The Jimmy Stewart Museum,"https://www.google.com/maps/place/The+Jimmy+Stewart+Museum/@40.6231659,-79.1578819,17z/data=!3m1!4b1!4m5!3m4!1s0x89cb5ad8a194e6c1:0xb76a81781fc75248!8m2!3d40.6231659!4d-79.1556967",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,JIMMY STEWART WAS ONE OF THE BEST ACTORS EVER,5
1938,TRUE,Harrisburg,Wildwood Park,https://www.google.com/maps/d/viewer?mid=1hMfNSj5DCnx946i-QyC8pNp9oU0&msa=0&ll=40.3163167351788%2C-76.88266800000002&spn=0.019928%2C0.038581&z=14,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,It is a nature sanctuary and provide lot of opportunity to see unusual wildlife,10
119,TRUE,"Walnut Creek, CA",Heather Farm Park,"https://www.google.com/maps/place/Heather+Farm+Park/@37.919903,-122.0425846,15z/data=!4m2!3m1!1s0x0:0x4e5c83ca67a5f64f?sa=X&ved=2ahUKEwj5wsKM1rDwAhWWhJ4KHfIOAfYQ_BIwG3oECDEQBQ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"This park is great for family afternoons. It has a lake you can walk around, sports courts, trails to walk, a large area for kids to play in the playground, plenty of parking, very clean and well kept.",8
772,TRUE,Pittsburgh,Carnegie Museum,"4400 Forbes Ave, Pittsburgh, PA 15213",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"It was one of the most inspiring museums that I have every visited, there was so much to see and the tour guides were so well informed it made for an amazing family experience.",8
385,TRUE,Greensburg,The White Rabbit Cafe,"https://www.google.com/maps/place/The+White+Rabbit+Cafe+and+Patisserie/@40.3038961,-79.5467357,17z/data=!3m2!4b1!5s0x8834d013417f8ba7:0x7ac00cd98c4a0870!4m5!3m4!1s0x8834d013a0a93a55:0xbff993eb58181fe6!8m2!3d40.303892!4d-79.544547",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"The food is creative and homemade, the coffee is great and the atmosphere and decor are so cozy. There are board games and books, different types of seating, and original fixtures from the old building. There's nothing like it.",9
124,TRUE,Allentown,Lehigh Valley Zoo,"https://www.google.com/maps/place/Lehigh+Valley+Zoo/@40.6587262,-75.6294927,17z/data=!4m12!1m6!3m5!1s0x89c4342ca08c6245:0x209db95e2ccb11a0!2sLehigh+Valley+Zoo!8m2!3d40.6587222!4d-75.627304!3m4!1s0x89c4342ca08c6245:0x209db95e2ccb11a0!8m2!3d40.6587222!4d-75.627304",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Beautiful animals, nature in its finest",5
1028,TRUE,Reading,Weavers Orchard,"https://www.google.com/maps/place/Weaver's+Orchard+Inc/@37.7041719,-90.8739181,5z/data=!4m5!3m4!1s0x89c66580153fafa3:0x192f330887afde8!8m2!3d40.2107752!4d-75.89797",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Weaver's Orchard is a fun place for all ages.  They have family fun entertainment on an orchard and farm.  They have singing and pumpkin and fruit picking along with fun farm activities like hayrides and activities for children and adults alike.,6
507,TRUE,Pittsburgh,Preeti's Pitt,"https://www.google.com/maps/dir/40.3715026,-79.9752205/strip+district+soul+food/@40.4176634,-80.0175709,13z/data=!3m1!4b1!4m9!4m8!1m1!4e1!1m5!1m1!1s0x8834f3c5b87f2a65:0x2b42a866992f367e!2m2!1d-79.9770676!2d40.4560792",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Great food just all around great place to eat,8
96,TRUE,Gardena,Shilla's BBQ,"https://www.google.com/maps/place/Shilla+Restaurant/@33.8772787,-118.3109908,17z/data=!3m1!4b1!4m5!3m4!1s0x80c2b5652d073c41:0x8d51e043de839aa8!8m2!3d33.8772341!4d-118.3087884",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"They are very friendly and care about you, and the food quality is great for the price.",5
168,TRUE,Harrisburg,Midtown Scholar Bookstore,"https://www.google.com/maps/place/The+Midtown+Scholar+Bookstore/@40.269667,-76.889382,15z/data=!4m5!3m4!1s0x0:0xb36184bc926a4ca0!8m2!3d40.2697646!4d-76.8891536",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"I have been to a lot of bookstores, and this is one of the best.  It is independent.  It is enormous.  The building is old and beautiful.  The staff is friendly and helpful.",3
114,TRUE,Kunkletown,Beltzville Lake,"https://www.google.com/maps/place/Beltzville+Lake/@40.866621,-75.6306558,13z/data=!3m1!4b1!4m5!3m4!1s0x89c451c2617343a5:0x66b83922c4a02257!8m2!3d40.8596101!4d-75.6164442",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"It's got a nice swimming beach and a lot of open space for picnics, yard games, etc. There are a lot of places to hike and just enjoy nature.",5
