WorkTimeInSeconds,Answer.Validation.check,Answer.q1-worker-city,Answer.q2-hidden-gem,Answer.q3-google-maps-url,Answer.q4-cultural-site.culture,Answer.q4-entertainment-center.entertainment,Answer.q4-food-place.food,Answer.q4-historical-landmark.historical-landmark,Answer.q4-museum.museum,Answer.q4-natural.nature,Answer.q4-other.other,Answer.q4-specialty-store.store,Answer.q4-waterfront.waterfront,Answer.q5-afternoon.afternoon,Answer.q5-anytime.anytime,Answer.q5-evening.evening,Answer.q5-morning.morning,Answer.q6-Spring.spring,Answer.q6-fall.fall,Answer.q6-other.other,Answer.q6-summer.summer,Answer.q6-winter.winter,Answer.q7-why-visit,Answer.q8-popularity
206,TRUE,Pearland,Menakshi Temple,"https://www.google.com/maps/place/Sri+Meenakshi+Devasthanam/@29.5227511,-95.2998147,17z/data=!3m1!4b1!4m5!3m4!1s0x86409192d9172f81:0x6c7c6b470f074b4f!8m2!3d29.5227516!4d-95.2975911",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,So they can learn about hinduism and see how it is.,8
225,TRUE,Austin,Carver Museum,http://www.austintexas.gov/department/george-washington-carver-museum-cultural-and-genealogy-center,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,It's very big on African American heritage or as you can culture. We learn alot from the carver library people have shows and watch movies there also about our culture.,6
2558,TRUE,Texas,Park,https://www.google.com/maps/places,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"ITS A GOOD PLACE TO ENJOY ,VERY ATTRACTIVE AND CONDUCIVE ENVIRONMENT TO BE.",6
269,TRUE,Houston,Bayou Burp Button,"https://www.google.com/maps/place/515+Preston+St,+Houston,+TX+77002/@29.7641651,-95.3659645,19z/data=!4m5!3m4!1s0x8640bf30e2b535f3:0x517898226fd9e10c!8m2!3d29.7643432!4d-95.3657164",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,It's a very niche little spot that can cause a 'burp' like effect to happen. Can also surprise kayakers sometimes.,3
418,TRUE,Texas,San Antonio River Walk,"https://www.google.com/maps/dir/-0.5378771,37.456192/San+Antonio+River+Walk/@0.9177318,-116.9503282,3z/",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,It is an amazing environment with favorable temperatures.,5
342,TRUE,El Paso,Puerto Vallarta Grill,"https://www.google.com/maps/place/Puerto+Vallarta+Grill/@31.7735265,-106.479572,17z/data=!3m1!4b1!4m5!3m4!1s0x86e759a8b17328bf:0xaf90573df904bf71!8m2!3d31.773481!4d-106.4773478",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,They serve the best seafood in the world.,10
301,TRUE,Texas,The Jay Cafe,"https://www.google.com/maps/dir/-0.7056502,37.2472152/the+jay+cafe+texas+36+needville+tx/@1.3242201,-114.6524938,3z/data=!3m1!4b1!4m9!4m8!1m1!4e1!1m5!1m1!1s0x86410147b2e35c8f:0x52a90f8be2e4ec9d!2m2!1d-95.8003374!2d29.3660541",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,they keep the old-school American dinner tradition alive. the perfection that comes with every meal that you order is u nreal.,6
255,TRUE,New York,Le Bernardin,"https://www.google.com/maps/dir//tourist+restaurants+in+new+york/@40.7615168,-74.0519039,12z/data=!3m1!4b1!4m9!4m8!1m1!4e2!1m5!1m1!1s0x89c258f890972255:0x1dc6c517addd0556!2m2!1d-73.981864!2d40.761538",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,It is a very lovely and subtle place to visit. Most people love to visit the place but it is not really known by people in other states.,6
1430,TRUE,Lubbock,Holiday Inn Lubbock South,https://www.ihg.com/holidayinn/hotels/us/en/lubbock/lbbhs/hoteldetail,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,This restaurants is very useful to satay and taste more delicious foods. I would like to share my thoughts about this restaurants to my friends. It was very beautiful place to stay at this place.,9
69,TRUE,Houston,Japanese Garden,https://www.google.com/maps?q=japanese+garden+houston&rlz=1C1NHXL_enUS733US745&um=1&ie=UTF-8&sa=X&ved=2ahUKEwjUzMaFz7LwAhVQvJ4KHftPA5kQ_AUoAnoECAEQBA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Its free and relaxing and it brings good vibes and memories.,7
337,TRUE,Houston,Buffalo Bayou,https://www.google.com/maps/d/viewer?mid=1KtZkzw4cWzS_VnYTsX9wLhZfm1I&msa=0&ll=0%2C0&spn=0.016112%2C0.033023&z=13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Nice walking and bike trails, dog park, bike rentals, park for kids, special events.",3
623,TRUE,Dallas,Passport to Edan,"3520 Cedar Springs Rd, Dallas, TX 75219",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"A small garden with unique statues that you wouldn't normally see.  Cute little gazebos can be found throught the park area.  Some say it reminds them of Games of Thrones,",8
80,TRUE,Weatherford,Airfield Falls,"https://www.google.com/maps/place/Airfield+Falls/@32.7652992,-97.4198907,17z/data=!3m1!4b1!4m5!3m4!1s0x864e7346ed55df9d:0x4960dce321a47fe5!8m2!3d32.7652947!4d-97.417702",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"After a walk of less than 10 minutes, visitors are treated to a beautiful, if small, waterfall with ample nearby seating and access to a major trail system.",5
210,TRUE,Dallas,Reunion Tower,"https://www.google.com/maps/place/Reunion+Tower,+Dallas,+TX+75207/@32.7753462,-96.8111389,17z/data=!3m1!4b1!4m5!3m4!1s0x864e9913fa71418b:0x64f0e3e86a68d7f!8m2!3d32.7753462!4d-96.8089502",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Not a lot of people know about the tower or even that there is a restaurant at the very top that slowly turn while you eat giving you a view of the city.,6
