,Location,Yes/Yes/Prefer,Yes/Yes/Not Prefer,Yes/Heard/Prefer,Yes/Heard/Not Prefer,Yes/No/Prefer,Yes/No/Not Prefer,No/Yes/Prefer,No/Yes/Not Prefer,No/Heard/Prefer,No/Heard/Not Prefer,No/No/Prefer,No/No/Not Prefer,Five Star
0,"brooklyn, il, New York",1,0,1,0,1,0,1,0,0,0,2,1,2.368
1,"Moriches Bay Diner, Moriches, New York",0,0,0,0,3,0,0,0,0,0,2,0,3.0
2,"Dinasouer barbeque, Syracuse, New York",0,0,0,0,3,0,0,0,1,0,1,0,3.0
3,"An overlooked tourist, New York City, New York",1,0,0,0,2,0,0,0,0,0,2,1,3.214
4,"Pip Pio, New York City, New York",0,0,0,0,2,0,0,0,0,0,1,0,3.333
5,"A brownstone house in park slope (640 2nd St Brooklyn, NY 11215), New York City, New York",1,1,1,0,0,0,0,0,1,0,1,1,3.438
6,"Carl Schurz Park, New York City, New York",2,0,1,0,1,1,1,0,0,0,0,0,3.75
7,"Nellies, Monticello, New York",0,0,0,0,4,0,0,0,1,0,0,0,4.0
8,"Satue of liberty, New York City, New York",3,0,1,0,0,0,0,1,0,0,0,0,4.048
9,"Miniature Graceland, Roanoke, Virginia, New York",1,0,0,0,4,0,0,0,0,0,1,1,4.062
10,"Frank Restaurant, New York City, New York",0,0,2,0,3,0,0,0,0,0,1,0,4.167
11,"Union Square Market, New York City, New York",5,0,1,0,0,0,1,0,0,0,0,0,4.219
12,"Brooklyn Night Bazar, New York City, New York",2,0,2,0,0,1,0,0,0,0,1,0,4.412
13,"Vander Ende Onderdonk House, Brooklyn, New York",0,0,0,0,5,0,0,0,0,0,0,1,4.545
14,"Museum of Math, New York City, New York",2,0,0,0,3,0,0,0,0,1,0,0,4.571
15,"Please Don't Tell Secret Bar, New York City, New York",0,0,2,0,4,0,0,0,0,0,0,1,4.615
16,"West Side Highway, New York City, New York",5,0,0,0,0,0,0,0,0,1,0,0,4.717
17,"Dick & Jenny's, Grand Island, New York",0,0,2,0,3,0,0,0,0,0,0,0,5.0
18,"Statue of Liberty, New York City, New York",5,0,0,0,0,0,0,0,0,0,0,0,5.0
19,"Alba's Pizza, New York City, New York",0,0,2,0,3,1,0,0,0,0,0,0,5.0
20,"Brooklyn Museum, New York City, New York",3,0,2,0,1,0,0,0,0,0,0,0,5.0
21,"Monkey Bar, New York City, New York",1,0,1,0,3,0,0,0,0,0,0,0,5.0
22,"Irish Famine Memorial, New York City, New York",1,0,1,0,2,1,0,0,0,0,0,0,5.0
23,"Industry City, Brooklyn, New York",2,0,2,0,2,0,0,0,0,0,0,0,5.0
24,"Fuze Box Nightclub, Albany, New York",0,1,0,0,4,0,0,0,0,0,0,0,5.0
25,"East River Ferry, New York City, New York",3,1,2,0,0,0,0,0,0,0,0,0,5.0
26,"New York Firefighters Museum, New York City, New York",2,0,2,0,3,0,0,0,0,0,0,0,5.0
27,"Manhattan, New York City, New York",6,0,0,0,0,0,0,0,0,0,0,0,5.0
